1, 0.001000, 1669113091
1, 0.001000, 1669113322
1, 0.001000, 1669113365
1, 0.001000, 1699703335
1, 0.001000, 1699703402
1, 0.001000, 1699703467
1, 0.001000, 1699703499
1, 0.001000, 1699703692
2, 0.002000, 1699703692
1, 0.001000, 1699703985
2, 0.002000, 1699703985
1, 0.001000, 1699705712
2, 0.002000, 1699705712
1, 0.001000, 1732229523
2, 0.002000, 1732229523
1, 0.001000, 1732405311
2, 0.002000, 1732405311
1, 0.001000, 1732405321
2, 0.002000, 1732405321
1, 0.001000, 1732405338
2, 0.002000, 1732405338
1, 0.001000, 1732405402
2, 0.002000, 1732405402
1, 0.001000, 1732405614
2, 0.002000, 1732405614
1, 0.001000, 1732405623
2, 0.002000, 1732405623
1, 0.001000, 1732405647
2, 0.002000, 1732405647
1, 0.001000, 1732405708
2, 0.002000, 1732405708
1, 0.001000, 1732405798
2, 0.002000, 1732405798
1, 0.001000, 1732405865
2, 0.002000, 1732405865
1, 0.001000, 1732405965
2, 0.002000, 1732405965
1, 0.001000, 1732406172
2, 0.002000, 1732406172
1, 0.001000, 1732406379
2, 0.002000, 1732406379
1, 0.001000, 1732406391
2, 0.002000, 1732406391
1, 0.001000, 1732406468
2, 0.002000, 1732406468
1, 0.001000, 1732406554
2, 0.002000, 1732406554
1, 0.001000, 1732406816
2, 0.002000, 1732406816
1, 0.001000, 1732406831
2, 0.002000, 1732406831
1, 0.001000, 1732407065
2, 0.002000, 1732407065
1, 0.001000, 1732407113
2, 0.002000, 1732407113
1, 0.001000, 1732407356
2, 0.002000, 1732407356
1, 0.001000, 1732407446
2, 0.002000, 1732407446
